new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
1,0,0,0,1,60,2048,8,101575.2
2,0,1,0,1,30,512,8,100333.8
3,1,1,1,0,10,2048,2,12510.8
2,1,1,1,1,80,1,6,116431.0
2,0,0,1,0,20,64,4,12118.4
2,0,0,1,1,90,32,8,103497.2
5,0,1,0,0,10,2,8,121135.6
3,0,0,0,1,50,16,4,12267.8
1,0,1,0,1,30,4,2,17838.0
1,0,1,1,1,20,512,0,17686.4
1,0,1,0,1,0,512,2,17914.4
5,0,0,1,1,20,4,4,9252.2
2,0,1,0,1,90,1,10,82972.6
4,1,1,1,0,50,2,4,43243.8
1,1,1,0,1,50,8,4,12228.2
2,0,1,1,0,90,16,8,105454.0
3,1,1,0,0,10,2048,8,39406.4
2,0,1,1,0,10,4096,4,12408.4
1,0,0,0,0,30,1024,6,88631.2
1,0,1,0,1,30,32,2,17715.4
1,1,1,0,0,50,1,2,17647.8
2,1,0,0,0,0,8,6,81788.8
5,0,0,1,1,0,512,8,121828.4
5,1,0,1,1,20,64,2,9184.0
5,1,1,1,0,20,4,4,9223.6
2,1,1,0,1,20,4096,4,4949.8
2,0,0,1,1,20,1,0,17601.8
3,0,1,1,0,0,4,0,15867.8
5,0,1,0,1,80,32,0,9115.6
4,1,0,1,1,30,8,4,43490.2
2,1,0,1,0,60,4,2,17647.6
3,1,1,1,1,30,32,10,48639.6
5,1,0,1,1,90,4,2,9118.6
4,0,0,0,0,80,128,10,112747.4
5,0,0,1,1,70,2,0,9162.0
1,0,1,0,1,50,32,0,17797.8
4,1,0,1,0,0,4,4,39526.6
4,1,0,1,0,50,64,4,43602.2
3,1,1,1,1,10,4096,0,12420.8
3,0,0,0,1,80,4,0,12895.8
3,0,0,0,1,20,2048,4,12236.2
4,1,0,0,0,70,32,8,39311.6
5,0,0,1,0,30,4,2,9194.6
1,1,1,1,0,20,4096,10,103699.2
5,1,0,0,1,70,2048,2,9161.6
5,1,1,1,1,90,1024,10,300741.6
5,1,1,1,1,30,32,0,9182.6
1,0,0,0,1,90,32,6,87454.6
2,1,0,1,1,80,2,2,17627.4
1,0,0,0,1,60,1024,0,17823.0
4,1,0,0,0,80,4096,4,12847.2
1,0,0,1,0,0,2,2,18023.2
2,0,0,1,0,90,512,6,91282.8
3,0,0,0,0,20,32,8,38719.0
3,1,0,0,0,10,128,4,12424.2
1,0,1,1,1,10,4096,2,17741.8
1,0,1,0,0,0,128,8,85601.4
5,0,0,1,1,70,1,2,9103.6
3,0,0,0,1,70,32,10,48457.2
2,1,0,0,1,70,2048,2,4771.2
4,1,1,0,0,70,32,4,12948.2
5,0,0,1,1,80,1,10,300251.0
3,1,1,0,0,60,32,4,12424.0
2,0,1,0,1,30,16,2,5015.2
3,1,0,1,1,60,64,4,12162.0
5,1,1,0,1,70,16,2,9135.0
1,1,1,1,0,10,512,2,17731.8
3,1,0,0,0,20,4,4,12914.8
5,1,1,0,0,0,512,6,47527.4
3,1,1,1,1,70,4096,8,37993.0
1,1,1,0,1,70,4,4,12430.4
3,1,1,1,1,0,1,2,15798.4
5,1,0,0,1,60,1024,8,122048.2
3,0,1,0,1,50,128,10,48887.2
2,1,1,1,1,40,2,4,13264.4
2,1,0,0,1,60,8,2,5171.2
1,0,1,0,0,40,4,0,17669.2
4,0,1,0,1,20,2048,0,9104.6
4,0,0,1,0,20,16,4,43410.4
5,1,1,0,1,30,2,2,9162.8
4,0,1,1,1,50,128,10,414950.0
1,1,1,0,1,60,128,10,101939.4
3,1,1,1,1,40,8,2,12597.6
3,0,1,1,1,40,2,4,13258.8
4,1,1,1,0,90,2048,0,35838.4
2,1,0,0,1,100,1,4,14764.6
4,0,1,0,1,30,8,4,14176.4
4,0,1,1,0,0,2,2,35451.6
5,0,1,0,1,70,4,2,9192.0
2,0,0,0,0,20,2048,4,4969.2
4,0,1,1,0,70,32,6,49424.0
2,1,0,0,1,20,8,4,9240.0
3,1,1,1,1,0,2,2,15891.2
1,1,1,1,0,40,64,6,91306.6
2,0,1,1,1,10,4,8,114651.8
2,1,1,0,1,70,256,6,84858.0
4,0,1,1,1,40,2048,6,49375.2
5,1,1,0,1,30,4,4,9151.0
5,0,1,0,0,70,4096,2,9142.2
5,0,1,0,1,0,1,8,121457.0
