new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
2,1,0,1,0,40,256,4,11961.0
4,1,1,0,0,60,2,0,9516.8
5,1,1,1,0,30,16,6,47610.6
3,0,1,1,0,70,8,0,12362.6
5,0,0,1,0,50,2,8,121159.8
5,1,0,0,0,30,2048,4,9152.6
1,1,1,0,0,10,32,2,17804.4
5,1,1,0,0,20,128,0,9158.8
4,1,0,0,0,0,128,2,12014.0
4,0,0,0,1,80,1024,10,112712.0
4,1,0,1,0,80,2048,6,49550.4
3,1,1,1,0,20,2,6,15572.4
4,0,1,1,1,20,1024,2,35533.6
5,1,0,1,0,60,2,2,9163.6
5,1,1,1,1,80,1024,0,9187.6
2,1,0,1,0,20,2,0,17759.0
5,1,0,0,1,70,32,4,9159.8
5,1,1,0,0,70,64,8,121691.8
5,1,1,1,1,90,4,8,121412.4
2,0,1,0,1,70,32,0,4777.4
1,1,0,1,1,70,1,2,17776.6
4,0,0,1,0,20,16,8,124113.0
5,1,1,1,0,40,2048,6,47886.0
3,0,1,1,1,80,8,8,37380.2
4,0,0,1,0,100,1024,4,43539.6
5,1,1,1,1,20,2,2,9176.0
4,1,1,1,1,30,32,0,35768.0
1,0,1,0,1,90,16,0,17659.2
5,1,0,0,1,0,512,10,298443.6
3,0,0,0,0,60,2,2,13113.8
1,0,1,0,1,80,1,2,17686.4
2,1,1,0,1,70,2048,0,4760.4
5,1,1,1,1,90,2,6,47513.2
2,0,1,1,1,40,1,0,17619.4
4,1,0,1,0,30,1024,4,43329.2
3,0,1,1,1,0,8,4,16014.6
3,0,1,1,1,90,2,6,15587.4
3,1,1,1,1,50,1024,8,38078.6
2,0,1,1,0,60,2,0,17586.4
5,1,0,0,1,70,4,2,9205.6
5,0,1,0,0,60,8,2,9162.4
1,1,1,1,1,0,1024,8,131683.4
2,0,1,1,0,0,128,6,123625.8
4,0,0,0,1,70,4096,8,39277.2
3,0,0,0,1,60,512,4,12109.2
2,0,1,0,1,40,4096,4,4578.8
2,0,1,0,0,100,4096,2,4661.0
3,1,0,1,1,50,4,2,12921.4
2,1,0,0,0,50,512,0,4882.4
5,1,1,0,1,70,2,8,120958.2
5,0,0,0,1,50,256,2,9141.6
2,0,1,0,0,70,4096,8,100593.2
5,0,1,1,1,90,128,8,121311.8
5,0,1,0,0,80,4096,4,9171.2
3,1,1,1,0,0,1,4,15954.2
2,0,1,1,1,70,8,6,98369.4
3,1,0,1,0,100,4096,6,10661.0
4,0,1,0,1,0,8,4,22140.0
4,1,1,1,1,40,1024,4,43462.2
3,0,0,0,1,100,32,2,12126.8
1,1,1,0,0,20,16,6,85375.4
3,0,0,1,1,70,1,2,14495.6
4,1,1,0,1,20,1,2,10076.0
2,1,0,0,1,30,4096,10,100572.2
4,1,1,0,0,40,1,8,82079.6
3,1,1,1,1,10,4096,8,39328.6
1,1,1,1,0,40,4096,0,17768.2
1,0,0,1,0,100,4096,10,102874.0
3,1,1,0,0,20,1,2,14448.6
3,1,1,1,1,10,4096,2,12327.6
1,0,1,0,1,30,2,8,80101.4
3,0,0,1,0,60,2048,10,48536.2
5,1,1,1,0,20,2048,10,301805.6
5,1,0,1,1,40,512,6,47693.0
2,1,0,0,1,0,512,0,11407.8
2,0,0,0,0,90,16,10,95171.2
2,0,0,0,1,80,2048,2,4720.2
3,1,0,1,0,30,32,2,12167.6
4,1,0,1,1,80,8,8,124488.2
5,0,1,0,0,20,32,4,9139.8
2,1,0,0,1,20,512,2,5042.0
4,0,1,0,0,10,2048,8,46929.8
5,1,0,0,0,20,16,4,9173.4
5,0,1,1,0,30,512,6,47688.6
4,0,1,1,1,90,4,2,35880.4
1,0,1,0,0,40,64,2,17723.8
3,0,1,1,1,40,16,6,11279.8
1,1,1,1,1,40,512,10,103100.0
5,0,0,0,1,80,256,4,9171.8
2,1,1,1,1,80,64,2,17630.4
4,1,0,0,0,100,1024,2,8904.0
2,1,0,0,0,20,8,2,5349.0
1,1,1,1,0,60,512,4,11793.2
4,1,1,0,1,0,2048,6,27532.0
3,0,1,1,1,40,16,6,11279.8
5,1,1,0,1,30,16,0,9129.0
3,0,1,0,1,20,4096,6,10879.6
3,0,0,0,1,10,8,6,12184.4
5,1,0,0,1,20,16,8,121309.6
2,1,1,0,0,0,1024,6,82194.4
