new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
2,0,1,0,0,10,32,10,98578.8
3,0,1,1,1,70,2048,6,10692.4
3,0,1,1,1,60,256,0,11971.2
5,0,1,0,0,80,64,0,9165.0
2,0,0,0,1,80,1,0,11230.6
2,0,0,0,0,30,512,2,4864.0
5,1,1,0,0,90,512,0,9171.2
3,0,0,1,0,60,2048,4,12090.6
5,0,1,0,0,80,2,10,298225.8
2,0,0,1,0,40,8,4,12240.0
2,0,1,0,1,40,1024,4,4594.8
4,0,1,0,1,80,64,4,12890.4
4,1,1,1,1,70,64,0,35809.8
2,0,0,0,0,70,16,2,5047.8
5,1,1,1,1,20,16,0,9123.2
2,1,1,1,1,0,1,4,18490.6
3,1,1,1,1,90,2048,0,12237.0
4,1,1,1,0,100,16,6,49453.2
3,0,0,0,0,0,512,10,48460.6
1,0,0,0,0,60,2048,6,89709.8
1,0,1,1,0,60,64,2,17753.8
2,0,1,0,1,70,512,6,84849.6
3,0,1,0,1,40,1,10,50319.2
3,0,0,1,1,40,1024,2,12140.0
3,0,0,1,0,0,32,2,15947.2
5,0,1,1,1,10,64,0,9209.4
4,0,1,0,1,30,256,0,8992.6
2,0,1,0,0,10,2048,2,5710.4
4,0,1,0,0,80,32,10,115639.2
3,0,0,0,0,60,16,8,37791.8
4,1,0,0,1,10,128,10,144399.4
2,0,0,0,1,20,32,8,98918.2
3,1,0,1,1,70,2048,8,38007.4
5,1,0,1,0,10,2048,2,9192.8
1,1,1,1,0,40,1024,2,17689.0
3,0,1,0,0,20,2048,10,49257.2
4,0,0,0,0,70,2048,2,8912.4
3,0,1,1,0,30,256,6,10594.2
2,0,1,0,0,10,2048,2,5710.4
5,1,1,1,0,60,128,10,302875.0
3,0,1,0,0,30,32,2,12225.4
2,0,1,0,1,100,1024,0,4648.4
1,0,0,0,1,40,4,6,72802.2
2,1,1,1,1,10,1024,2,17630.4
5,1,1,1,0,50,1024,8,122257.0
4,1,0,1,0,50,32,10,415478.6
4,1,0,1,0,20,128,0,35853.8
2,1,0,1,1,10,64,8,105556.2
4,1,0,0,1,50,128,2,8944.0
5,1,0,1,0,10,2048,4,9117.8
2,1,1,0,1,10,256,10,99393.2
5,1,1,1,1,90,64,4,9134.4
2,0,0,0,1,40,1,0,11181.2
1,1,1,0,0,60,16,6,84892.4
2,1,0,1,1,40,1024,0,17646.6
3,1,1,1,1,100,4096,0,12209.2
1,1,1,0,0,60,2,8,79761.2
4,1,1,0,1,30,64,2,9046.4
2,0,0,1,1,0,4096,4,18470.4
1,0,0,1,0,90,16,6,93960.0
1,0,1,0,0,90,1,2,17602.6
5,0,1,1,0,100,128,6,47683.6
4,0,1,1,1,100,64,4,43625.4
2,1,0,1,1,90,1024,4,11969.4
1,0,0,1,1,20,64,0,17755.6
3,1,0,0,1,0,4,4,15889.4
5,0,0,0,1,30,64,8,122166.2
2,1,0,1,1,40,1024,2,17668.8
2,1,1,1,0,50,32,6,91777.6
4,1,0,1,0,70,8,6,49621.4
1,1,0,1,1,70,8,8,109210.0
4,0,1,1,0,30,1,4,42718.8
1,0,0,0,1,10,64,10,99833.0
3,1,1,0,0,20,4096,0,12331.2
3,1,1,0,1,100,1,0,14326.8
3,0,0,1,1,70,4,6,13584.2
2,0,0,1,0,50,4,6,103195.0
1,0,1,0,0,60,2048,4,11782.4
5,1,0,1,0,40,1,6,47414.2
2,0,0,0,0,10,1024,2,5738.4
1,1,1,1,0,60,2048,4,11808.2
5,1,1,0,0,10,32,4,9207.4
3,1,1,0,1,30,16,4,12179.2
3,1,1,1,1,90,4096,10,48292.6
1,1,0,0,0,100,1024,0,17812.2
3,0,1,1,0,90,128,0,12072.8
3,1,0,1,1,100,128,6,10598.4
1,0,1,0,1,10,256,10,99819.2
3,0,1,0,1,90,1024,0,12107.2
2,1,1,1,1,50,2048,6,90966.2
1,0,1,0,0,60,16,4,11902.6
5,0,0,0,1,60,8,4,9157.4
3,0,0,1,1,90,8,4,12467.8
1,0,0,0,1,30,16,4,11985.6
3,0,1,0,0,100,512,4,12157.0
4,0,0,1,0,100,1024,0,35673.0
2,1,0,0,1,80,32,4,4673.8
2,1,0,0,0,100,1024,0,4683.0
4,1,1,1,0,70,256,6,49390.6
3,1,1,0,1,80,256,4,12159.6
