new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
5,1,1,1,1,0,256,8,121568.2
5,0,0,0,0,20,256,0,9160.0
5,1,0,0,0,90,64,2,9156.8
1,1,1,0,0,20,2048,4,12048.4
1,0,0,1,0,10,4,0,17775.8
1,0,0,0,0,90,4,8,80836.4
3,0,0,0,1,60,2,6,15587.2
3,0,0,1,0,10,2,4,13234.4
2,1,0,1,1,100,512,6,90549.8
3,0,0,1,0,90,4,0,12898.6
5,1,0,0,0,90,4096,4,9246.4
5,1,0,1,0,20,4,8,121109.6
3,1,1,1,0,10,4,0,12862.8
5,0,0,1,1,40,4,10,298736.6
1,0,0,1,1,30,128,4,11923.4
5,0,0,0,0,60,128,8,122231.6
5,1,0,1,0,60,64,10,302135.0
3,1,0,1,0,20,2048,4,12160.8
2,0,1,0,0,40,4,6,72971.4
5,1,1,1,1,80,1,6,47184.8
3,0,0,0,1,0,256,4,15994.0
3,0,1,0,1,40,1024,0,11977.8
3,1,0,1,0,40,2048,2,12050.8
3,0,0,1,1,20,512,10,49381.4
2,0,1,1,0,90,128,0,17592.8
5,1,1,1,0,0,32,8,121451.2
2,1,0,1,1,20,2,2,17622.4
3,0,0,0,0,20,2048,10,49598.2
5,0,0,0,0,50,2048,8,121859.0
2,0,1,0,0,60,256,10,101703.4
1,0,1,0,0,30,1,2,17623.2
3,0,0,1,1,50,2,8,39125.0
2,1,1,1,0,80,128,10,102849.6
2,1,0,1,0,70,2,10,117372.0
4,1,0,1,0,0,32,0,35395.0
5,1,0,1,1,90,1,4,9122.4
4,1,1,1,0,50,2,2,35844.2
3,0,1,0,0,80,256,4,12204.2
2,1,1,1,0,10,4,6,103587.4
1,0,1,0,0,50,8,8,86004.2
5,0,1,0,0,30,1024,10,302188.8
4,0,1,0,0,60,512,4,12905.8
2,0,1,0,0,30,1024,2,4843.4
1,0,1,0,0,0,1024,10,85154.4
4,1,1,0,0,10,1024,0,9314.4
3,0,0,1,1,90,256,2,12102.2
4,0,0,0,1,60,4096,6,19357.4
5,1,1,1,0,80,128,8,121138.0
1,0,0,0,1,60,2,10,80132.6
5,0,0,0,0,0,16,10,299523.2
1,0,0,0,0,80,4,0,17774.0
5,0,0,1,1,70,1024,6,47774.2
3,0,0,1,0,50,2,8,39173.2
3,0,0,1,0,90,256,2,12157.2
4,1,0,0,0,100,16,0,8992.8
5,1,1,1,0,0,512,2,9313.4
5,0,1,0,0,20,1024,4,9120.4
5,0,0,0,0,60,512,6,47435.6
4,1,0,0,1,0,1024,10,274689.6
1,1,1,1,0,60,128,8,102570.2
5,1,1,1,1,70,4096,10,299762.6
3,0,0,1,1,90,512,10,48222.2
3,1,1,0,1,10,8,2,12579.2
5,1,0,0,1,80,512,4,9227.4
4,1,0,1,0,100,4,8,124325.0
5,1,0,1,1,100,4096,8,122496.2
1,1,1,0,0,50,8,10,86437.4
3,0,0,0,0,80,1024,2,12166.6
2,1,1,1,0,90,8,2,17616.8
2,0,1,0,0,20,256,4,4945.4
3,1,0,1,0,40,16,2,12277.6
2,0,0,0,0,20,8,2,5336.0
2,0,1,1,0,80,2048,4,11882.6
4,1,1,1,0,10,2048,2,35792.2
5,0,0,0,1,10,128,2,9183.4
3,1,0,0,1,0,2048,4,16153.6
5,1,1,0,1,80,4096,4,9222.2
5,1,0,1,1,0,2048,4,9228.6
5,1,0,0,1,80,256,2,9163.6
2,0,1,1,0,90,1,10,125193.0
5,1,0,0,1,70,256,0,9166.0
3,1,1,0,1,80,4096,2,12133.0
4,1,0,0,1,0,4096,2,11898.2
3,1,0,0,1,10,32,2,12453.0
5,1,0,0,0,80,16,2,9147.8
3,1,0,0,1,40,256,0,12255.4
2,1,0,1,1,30,4096,2,17646.4
2,1,1,1,1,0,64,4,18397.2
3,1,0,1,0,30,128,4,12267.2
2,1,0,1,0,80,32,6,91882.6
5,1,1,0,1,70,1,0,9084.4
3,1,0,0,1,70,4,0,12920.4
5,1,0,0,0,90,2048,4,9203.2
3,1,0,1,0,80,16,0,12293.0
4,0,0,0,1,70,64,0,8935.8
4,0,1,0,0,70,2,2,9574.0
4,1,0,0,1,80,4,2,9370.2
2,1,0,0,1,80,1,8,83778.8
2,1,1,0,0,0,16,4,17947.6
2,1,0,1,0,50,1024,8,102913.6
